Motor Speed [RPM],Continuous Power [kW],Peak Power [kW]
3708.708709,52.6772374,79.85318283
3713.713714,52.72095946,79.94570403
3718.718719,52.76454431,80.03807368
3723.723724,52.80799217,80.13029224
3728.728729,52.85130325,80.22236018
3733.733734,52.89447775,80.31427795
3738.738739,52.93751588,80.40604601
3743.743744,52.98041785,80.49766483
3748.748749,53.02318388,80.58913485
3753.753754,53.06581416,80.68045655
3758.758759,53.10830892,80.77163039
3763.763764,53.15066835,80.86265681
3768.768769,53.19289267,80.95353628
3773.773774,53.23498208,81.04426927
3778.778779,53.2769368,81.13485623
3783.783784,53.31875703,81.22529761
3788.788789,53.36044299,81.31559389
3793.793794,53.40199487,81.40574552
3798.798799,53.4434129,81.49575295
3803.803804,53.48469728,81.58561666
3808.808809,53.52584821,81.67533709
3813.813814,53.56686592,81.76491472
3818.818819,53.60775059,81.85434999
3823.823824,53.64850246,81.94364337
3828.828829,53.68912172,82.03279531
3833.833834,53.72960858,82.12180629
3838.838839,53.76996325,82.21067675
3843.843844,53.81018595,82.29940716
